SAMPLE_ID,cyt,zsc
TCGA-US-A774-01,AIF1,0.43
TCGA-L1-A7W4-01,AIF1,-1.9082
TCGA-2J-AABR-01,AIF1,1.0332
TCGA-F2-A44H-01,AIF1,0.4825
TCGA-IB-AAUT-01,AIF1,0.7792
TCGA-HZ-A77O-01,AIF1,-0.004
TCGA-HZ-7924-01,AIF1,-0.7187
TCGA-IB-AAUS-01,AIF1,2.1782
TCGA-F2-7276-01,AIF1,0.5014
TCGA-HZ-A49I-01,AIF1,0.9502
TCGA-2J-AABF-01,AIF1,1.1116
TCGA-IB-AAUO-01,AIF1,0.5465
TCGA-IB-AAUQ-01,AIF1,-0.053
TCGA-XN-A8T3-01,AIF1,0.1636
TCGA-IB-AAUN-01,AIF1,-0.4939
TCGA-HZ-8519-01,AIF1,0.1384
TCGA-IB-7888-01,AIF1,1.2359
TCGA-YB-A89D-01,AIF1,0.8121
TCGA-HZ-A4BK-01,AIF1,0.1773
TCGA-IB-AAUR-01,AIF1,0.8139
TCGA-F2-7273-01,AIF1,0.5444
TCGA-HZ-A77Q-01,AIF1,1.0578
TCGA-Z5-AAPL-01,AIF1,0.5741
TCGA-IB-8126-01,AIF1,0.5064
TCGA-IB-7649-01,AIF1,1.28
TCGA-IB-7652-01,AIF1,1.0617
TCGA-HZ-A4BH-01,AIF1,0.3326
TCGA-3A-A9IB-01,AIF1,0.4945
TCGA-HZ-7920-01,AIF1,1.0945
TCGA-IB-7645-01,AIF1,1.0676
TCGA-HZ-8005-01,AIF1,0.1411
TCGA-2J-AABP-01,AIF1,2.1003
TCGA-IB-A7LX-01,AIF1,-0.9813
TCGA-HZ-8636-01,AIF1,0.5446
TCGA-IB-8127-01,AIF1,0.0767
TCGA-HZ-8638-01,AIF1,-1.1233
TCGA-HZ-8315-01,AIF1,0.5248
TCGA-HZ-7926-01,AIF1,-0.676
TCGA-HZ-7918-01,AIF1,1.0828
TCGA-H6-8124-01,AIF1,-1.3206
TCGA-FB-A7DR-01,AIF1,-0.1479
TCGA-HZ-8002-01,AIF1,0.7194
TCGA-IB-7891-01,AIF1,0.8732
TCGA-F2-A7TX-01,AIF1,0.4387
TCGA-HZ-7919-01,AIF1,0.2238
TCGA-HZ-8003-01,AIF1,0.5805
TCGA-IB-A5SS-01,AIF1,0.3613
TCGA-IB-7897-01,AIF1,0.7344
TCGA-HZ-7923-01,AIF1,1.3836
TCGA-IB-7886-01,AIF1,0.498
TCGA-IB-7893-01,AIF1,0.172
TCGA-IB-7651-01,AIF1,0.6199
TCGA-2J-AAB6-01,AIF1,0.2154
TCGA-IB-7646-01,AIF1,0.8365
TCGA-HZ-8637-01,AIF1,1.6081
TCGA-HV-A7OP-01,JAML,-1.4367
TCGA-2L-AAQL-01,JAML,0.134
TCGA-2J-AABV-01,JAML,0.0971
TCGA-HV-AA8X-01,JAML,-1.3759
TCGA-FB-AAQ0-01,JAML,-0.6569
TCGA-3A-A9J0-01,JAML,-0.9223
TCGA-FB-AAQ1-01,JAML,0.7305
TCGA-HZ-A8P1-01,JAML,-0.3601
TCGA-3A-A9I5-01,JAML,-0.5077
TCGA-US-A779-01,JAML,-0.8357
TCGA-FB-AAQ6-01,JAML,-1.7408
TCGA-HZ-A8P0-01,JAML,-0.4465
TCGA-3A-A9IJ-01,JAML,-2.6347
TCGA-3A-A9IR-01,JAML,-1.7207
TCGA-LB-A8F3-01,JAML,-1.0318
TCGA-LB-A7SX-01,JAML,-0.8211
TCGA-3E-AAAZ-01,JAML,-0.8124
TCGA-2L-AAQM-01,JAML,-1.0422
TCGA-FB-AAPQ-01,JAML,-0.9559
TCGA-US-A77G-01,JAML,-0.6266
TCGA-2J-AABO-01,JAML,-0.1157
TCGA-FB-AAQ3-01,JAML,0.2131
TCGA-HV-A5A6-01,JAML,-2.2694
TCGA-2L-AAQE-01,JAML,-0.4816
TCGA-FB-AAPU-01,JAML,-0.6226
TCGA-3A-A9IN-01,JAML,-0.3764
TCGA-2L-AAQJ-01,JAML,-0.5393
